Date,Cured,Deaths,Confirmed,New_Confirmed,New_Deaths,New_Cured,Active,Recovery_Rate_%,Death_Rate_%
06-04-2020,319,111,4281,704,28,44,3851,7.45,2.59
07-04-2020,353,124,4789,508,13,34,4312,7.37,2.59
08-04-2020,411,149,5274,485,25,58,4714,7.79,2.83
09-04-2020,478,169,5865,591,20,67,5218,8.15,2.88
10-04-2020,516,206,6761,896,37,38,6039,7.63,3.05
11-04-2020,653,242,7529,768,36,137,6634,8.67,3.21
12-04-2020,765,273,8447,918,31,112,7409,9.06,3.23
13-04-2020,980,324,9352,905,51,215,8048,10.48,3.46
14-04-2020,1190,353,10815,1463,29,210,9272,11,3.26
15-04-2020,1344,392,11933,1118,39,154,10197,11.26,3.29
16-04-2020,1515,420,12759,826,28,171,10824,11.87,3.29
17-04-2020,1767,452,13835,1076,32,252,11616,12.77,3.27
18-04-2020,2015,488,14792,957,36,248,12289,13.62,3.3
19-04-2020,2302,519,16116,1324,31,287,13295,14.28,3.22
20-04-2020,2842,559,17656,1540,40,540,14255,16.1,3.17
21-04-2020,3260,603,18985,1329,44,418,15122,17.17,3.18
22-04-2020,3960,652,20471,1486,49,700,15859,19.34,3.18
23-04-2020,4325,686,21700,1229,34,365,16689,19.93,3.16
24-04-2020,4814,723,23452,1752,37,489,17915,20.53,3.08
25-04-2020,5210,779,24893,1441,56,396,18904,20.93,3.13
26-04-2020,5914,826,26605,1712,47,704,19865,22.23,3.1
